"Tracking ID","Status","Reason","DA Name","DSP Name","Route","Latest Attempt","Cost"
"TBA321494779385","DELIVERY_ATTEMPTED","ITEMS_MISSING","SNOWPlatform","","SA38","2025-05-20 06:18 AM","129.99"
"TBA321509208125","DELIVERY_ATTEMPTED","ITEMS_MISSING","SNOWPlatform","","SB35","2025-05-20 08:03 AM","35"
"TBA321492655623","DELIVERY_ATTEMPTED","ITEMS_MISSING","SNOWPlatform","","SA64","2025-05-20 07:37 AM","92.96"
